MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2985.9070000,-0.0302108,-0.0602911,-3.0573308
MsgID.LOCAL_VELOCITY,2985.9070000,0.0001460,0.0000248,-0.0000948
MsgID.GLOBAL_POSITION,0.0000000,-122.3974683,37.7924576,3.0650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2986.1570000,0.0154685,0.0292531,-3.0662258
MsgID.LOCAL_VELOCITY,2986.1570000,0.0001253,0.0000482,0.0000183
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974678,37.7924582,3.0800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2986.4070000,0.0910339,0.0486545,-3.0827475
MsgID.LOCAL_VELOCITY,2986.4070000,0.0001158,0.0000131,-0.0000900
MsgID.GLOBAL_POSITION,0.0000000,-122.3974693,37.7924583,3.1000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2986.6570000,0.0749865,-0.0677518,-3.1025412
MsgID.LOCAL_VELOCITY,2986.6570000,0.0000964,0.0000020,0.0000350
MsgID.GLOBAL_POSITION,0.0000000,-122.3974693,37.7924571,3.1170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2986.9070000,-0.0456004,-0.0689705,-3.1189632
MsgID.LOCAL_VELOCITY,2986.9070000,0.0001167,0.0000390,-0.0000405
MsgID.GLOBAL_POSITION,0.0000000,-122.3974689,37.7924583,3.1280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2987.1580000,0.0933209,-0.0343494,-3.1292872
MsgID.LOCAL_VELOCITY,2987.1580000,0.0001159,0.0000524,0.0000099
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974696,37.7924572,3.1310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2987.4080000,-0.0694275,-0.1234237,-3.1311419
MsgID.LOCAL_VELOCITY,2987.4080000,0.0000953,0.0000042,0.0000188
MsgID.GLOBAL_POSITION,0.0000000,-122.3974706,37.7924564,3.1280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2987.6580000,-0.1102109,-0.1715693,-3.1286969
MsgID.LOCAL_VELOCITY,2987.6580000,0.0001190,0.0000095,0.0000419
